Sales_Date,Delivery_Date,SKU_Code,Qty,Unit_Price,Line_Amount,From_Location,To_Location,Channel,Sub_Channel,Delivery_Type,Courier,City_Tier,Category,Order_ID,Customer_ID,Month,Year,Week,Delivery_Days,Payment_Method,Is_Returned
2025-01-01,2025-01-04,BPC-1002,1,472.0,472.0,Navi Mumbai,Ahmedabad,D2C,Website,Scheduled,Ecom Express,Metro,Skincare,D2C-100001,C48945,2025-01,2025,1,3,COD,0
2025-01-01,2025-01-04,BPC-1050,2,534.0,1068.0,Navi Mumbai,Ahmedabad,D2C,Website,Scheduled,Ecom Express,Metro,Fragrance,D2C-100001,C48945,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1023,1,480.0,480.0,Navi Mumbai,Ahmedabad,D2C,Website,Scheduled,Ecom Express,Metro,Haircare,D2C-100001,C48945,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1017,1,847.0,847.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Ecom Express,Metro,Skincare,D2C-100002,C50001,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1023,1,484.0,484.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Ecom Express,Metro,Haircare,D2C-100002,C50001,2025-01,2025,1,3,Wallet,0
2025-01-01,2025-01-05,BPC-1015,1,540.0,540.0,Hyderabad,Kolkata,D2C,Website,Scheduled,Blue Dart,Metro,Skincare,D2C-100003,C43857,2025-01,2025,1,4,Prepaid,0
2025-01-01,2025-01-05,BPC-1014,1,613.0,613.0,Hyderabad,Kolkata,D2C,Website,Scheduled,Blue Dart,Metro,Skincare,D2C-100003,C43857,2025-01,2025,1,4,Prepaid,1
2025-01-01,2025-01-05,BPC-1024,2,852.0,1704.0,Hyderabad,Kolkata,D2C,Website,Scheduled,Blue Dart,Metro,Haircare,D2C-100003,C43857,2025-01,2025,1,4,Prepaid,1
2025-01-01,2025-01-03,BPC-1042,2,370.0,740.0,Gurgaon,Dehradun,D2C,Website,Scheduled,Blue Dart,Tier 2,Makeup,D2C-100004,C42327,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-03,BPC-1046,2,982.0,1964.0,Gurgaon,Dehradun,D2C,Website,Scheduled,Blue Dart,Tier 2,Makeup,D2C-100004,C42327,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-07,BPC-1029,1,447.0,447.0,Gurgaon,Guwahati,D2C,Website,Scheduled,Blue Dart,Tier 2,Bodycare,D2C-100005,C50003,2025-01,2025,1,6,COD,0
2025-01-01,2025-01-07,BPC-1006,1,1160.0,1160.0,Gurgaon,Guwahati,D2C,Website,Scheduled,Blue Dart,Tier 2,Skincare,D2C-100005,C50003,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1041,1,1248.0,1248.0,Hyderabad,Indore,D2C,Website,Scheduled,Shadowfax,Tier 2,Makeup,D2C-100006,C50003,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1037,1,486.0,486.0,Hyderabad,Indore,D2C,Website,Scheduled,Shadowfax,Tier 2,Bodycare,D2C-100006,C50003,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1016,2,797.0,1594.0,Hyderabad,Indore,D2C,Website,Scheduled,Shadowfax,Tier 2,Skincare,D2C-100006,C50003,2025-01,2025,1,6,COD,0
2025-01-01,2025-01-03,BPC-1021,1,1196.0,1196.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Shadowfax,Metro,Haircare,D2C-100007,C41581,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-03,BPC-1010,1,545.0,545.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Shadowfax,Metro,Skincare,D2C-100007,C41581,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-05,BPC-1035,2,277.0,554.0,Hyderabad,Ahmedabad,D2C,Website,Scheduled,XpressBees,Metro,Bodycare,D2C-100008,C50005,2025-01,2025,1,4,Prepaid,0
2025-01-01,2025-01-05,BPC-1047,1,1079.0,1079.0,Hyderabad,Ahmedabad,D2C,Website,Scheduled,XpressBees,Metro,Makeup,D2C-100008,C50005,2025-01,2025,1,4,Prepaid,0
2025-01-01,2025-01-06,BPC-1041,2,1258.0,2516.0,Gurgaon,Kolkata,D2C,Website,Scheduled,Blue Dart,Metro,Makeup,D2C-100009,C50006,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-06,BPC-1046,1,960.0,960.0,Gurgaon,Kolkata,D2C,Website,Scheduled,Blue Dart,Metro,Makeup,D2C-100009,C50006,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-04,BPC-1045,1,466.0,466.0,Hyderabad,Kochi,D2C,Website,Scheduled,Delhivery,Tier 2,Makeup,D2C-100010,C50007,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1033,2,605.0,1210.0,Hyderabad,Kochi,D2C,Website,Scheduled,Delhivery,Tier 2,Bodycare,D2C-100010,C50007,2025-01,2025,1,3,COD,0
2025-01-01,2025-01-04,BPC-1041,1,1254.0,1254.0,Hyderabad,Kochi,D2C,Website,Scheduled,Delhivery,Tier 2,Makeup,D2C-100010,C50007,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-05,BPC-1025,1,751.0,751.0,Hyderabad,Vadodara,D2C,Website,Scheduled,XpressBees,Tier 2,Haircare,D2C-100011,C50007,2025-01,2025,1,4,Prepaid,0
2025-01-01,2025-01-05,BPC-1020,1,936.0,936.0,Hyderabad,Vadodara,D2C,Website,Scheduled,XpressBees,Tier 2,Haircare,D2C-100011,C50007,2025-01,2025,1,4,Prepaid,0
2025-01-01,2025-01-04,BPC-1004,2,858.0,1716.0,Gurgaon,Delhi,D2C,Website,Scheduled,Ecom Express,Metro,Skincare,D2C-100012,C50007,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1010,2,545.0,1090.0,Gurgaon,Delhi,D2C,Website,Scheduled,Ecom Express,Metro,Skincare,D2C-100012,C50007,2025-01,2025,1,3,Wallet,0
2025-01-01,2025-01-03,BPC-1047,1,1063.0,1063.0,Navi Mumbai,Mumbai,D2C,Website,Scheduled,XpressBees,Metro,Makeup,D2C-100013,C50008,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-03,BPC-1045,1,462.0,462.0,Navi Mumbai,Mumbai,D2C,Website,Scheduled,XpressBees,Metro,Makeup,D2C-100013,C50008,2025-01,2025,1,2,COD,0
2025-01-01,2025-01-07,BPC-1011,1,450.0,450.0,Navi Mumbai,Chennai,D2C,Website,Scheduled,Shadowfax,Metro,Skincare,D2C-100014,C47252,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1032,1,483.0,483.0,Navi Mumbai,Chennai,D2C,Website,Scheduled,Shadowfax,Metro,Bodycare,D2C-100014,C47252,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1040,1,931.0,931.0,Navi Mumbai,Chennai,D2C,Website,Scheduled,Shadowfax,Metro,Makeup,D2C-100014,C47252,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-04,BPC-1042,1,373.0,373.0,Hyderabad,Chennai,D2C,Website,Scheduled,Shadowfax,Metro,Makeup,D2C-100015,C50009,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-06,BPC-1002,1,469.0,469.0,Hyderabad,Delhi,D2C,Website,Scheduled,Delhivery,Metro,Skincare,D2C-100016,C50009,2025-01,2025,1,5,COD,0
2025-01-01,2025-01-05,BPC-1024,1,830.0,830.0,Hyderabad,Kolkata,D2C,Website,Scheduled,Blue Dart,Metro,Haircare,D2C-100017,C50010,2025-01,2025,1,4,Prepaid,0
2025-01-01,2025-01-05,BPC-1007,1,406.0,406.0,Hyderabad,Kolkata,D2C,Website,Scheduled,Blue Dart,Metro,Skincare,D2C-100017,C50010,2025-01,2025,1,4,Prepaid,0
2025-01-01,2025-01-03,BPC-1017,1,851.0,851.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Ecom Express,Metro,Skincare,D2C-100018,C47144,2025-01,2025,1,2,Wallet,0
2025-01-01,2025-01-03,BPC-1034,1,287.0,287.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Ecom Express,Metro,Bodycare,D2C-100018,C47144,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-07,BPC-1023,1,476.0,476.0,Gurgaon,Coimbatore,D2C,Website,Scheduled,Blue Dart,Tier 2,Haircare,D2C-100019,C49690,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1010,1,531.0,531.0,Gurgaon,Coimbatore,D2C,Website,Scheduled,Blue Dart,Tier 2,Skincare,D2C-100019,C49690,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1032,1,483.0,483.0,Hyderabad,Ahmedabad,D2C,Website,Scheduled,Blue Dart,Metro,Bodycare,D2C-100020,C50012,2025-01,2025,1,6,Wallet,0
2025-01-01,2025-01-07,BPC-1016,1,784.0,784.0,Hyderabad,Ahmedabad,D2C,Website,Scheduled,Blue Dart,Metro,Skincare,D2C-100020,C50012,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-07,BPC-1025,1,752.0,752.0,Hyderabad,Ahmedabad,D2C,Website,Scheduled,Blue Dart,Metro,Haircare,D2C-100020,C50012,2025-01,2025,1,6,Wallet,0
2025-01-01,2025-01-06,BPC-1039,1,269.0,269.0,Hyderabad,Chandigarh,D2C,Website,Scheduled,Blue Dart,Tier 2,Makeup,D2C-100021,C48666,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-06,BPC-1019,1,936.0,936.0,Hyderabad,Chandigarh,D2C,Website,Scheduled,Blue Dart,Tier 2,Haircare,D2C-100021,C48666,2025-01,2025,1,5,COD,0
2025-01-01,2025-01-03,BPC-1023,1,490.0,490.0,Gurgaon,Dehradun,D2C,Website,Scheduled,XpressBees,Tier 2,Haircare,D2C-100022,C50014,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-04,BPC-1047,1,1067.0,1067.0,Hyderabad,Chennai,D2C,Website,Scheduled,Delhivery,Metro,Makeup,D2C-100023,C50015,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1048,2,1085.0,2170.0,Hyderabad,Chennai,D2C,Website,Scheduled,Delhivery,Metro,Makeup,D2C-100023,C50015,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1028,1,398.0,398.0,Hyderabad,Chennai,D2C,Website,Scheduled,Delhivery,Metro,Bodycare,D2C-100023,C50015,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-07,BPC-1013,2,446.0,892.0,Gurgaon,Ahmedabad,D2C,Website,Scheduled,Shadowfax,Metro,Skincare,D2C-100024,C40607,2025-01,2025,1,6,Prepaid,0
2025-01-01,2025-01-06,BPC-1030,2,528.0,1056.0,Navi Mumbai,Kolkata,D2C,Website,Scheduled,Delhivery,Metro,Bodycare,D2C-100025,C50015,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-06,BPC-1001,1,369.0,369.0,Navi Mumbai,Kolkata,D2C,Website,Scheduled,Delhivery,Metro,Skincare,D2C-100025,C50015,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-06,BPC-1028,1,390.0,390.0,Navi Mumbai,Delhi,D2C,Website,Scheduled,Blue Dart,Metro,Bodycare,D2C-100026,C43319,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-06,BPC-1001,1,367.0,367.0,Navi Mumbai,Delhi,D2C,Website,Scheduled,Blue Dart,Metro,Skincare,D2C-100026,C43319,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-06,BPC-1046,2,959.0,1918.0,Navi Mumbai,Delhi,D2C,Website,Scheduled,Blue Dart,Metro,Makeup,D2C-100026,C43319,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-05,BPC-1004,1,851.0,851.0,Hyderabad,Kolkata,D2C,Website,Scheduled,Delhivery,Metro,Skincare,D2C-100027,C50017,2025-01,2025,1,4,COD,0
2025-01-01,2025-01-03,BPC-1046,3,987.0,2961.0,Navi Mumbai,Pune,D2C,Website,Scheduled,Blue Dart,Metro,Makeup,D2C-100028,C40456,2025-01,2025,1,2,Wallet,0
2025-01-01,2025-01-03,BPC-1025,2,752.0,1504.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Shadowfax,Metro,Haircare,D2C-100029,C47829,2025-01,2025,1,2,Prepaid,0
2025-01-01,2025-01-04,BPC-1017,2,839.0,1678.0,Hyderabad,Chennai,D2C,Website,Scheduled,XpressBees,Metro,Skincare,D2C-100030,C50018,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-04,BPC-1039,2,272.0,544.0,Hyderabad,Chennai,D2C,Website,Scheduled,XpressBees,Metro,Makeup,D2C-100030,C50018,2025-01,2025,1,3,Prepaid,0
2025-01-01,2025-01-06,BPC-1046,1,995.0,995.0,Navi Mumbai,Lucknow,D2C,Website,Scheduled,Shadowfax,Tier 2,Makeup,D2C-100031,C50018,2025-01,2025,1,5,Prepaid,0
2025-01-01,2025-01-06,BPC-1025,2,756.0,1512.0,Navi Mumbai,Lucknow,D2C,Website,Scheduled,Shadowfax,Tier 2,Haircare,D2C-100031,C50018,2025-01,2025,1,5,COD,0
2025-01-01,2025-01-03,BPC-1019,1,945.0,945.0,Hyderabad,Hyderabad,D2C,Website,Scheduled,Delhivery,Metro,Haircare,D2C-100032,C50018,2025-01,2025,1,2,COD,0
